ID,Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,Birthdate
5033,Robert Smith,0.7,Brazil,Retail,4367,55,Brasilia,Brazil,Divorced,4,"Bachelor of Arts/Science, Cambridge University",False,1970-03-22
5034,Jane Harris,0.7,India,Manufacturing,4367,73,Bangalore,India,In Relationship,4,"Bachelor of Arts/Science, Harvard University",False,1952-03-26
5035,Sarah White,0.7,France,Retail,4367,38,Lyon,France,Divorced,0,"Bachelor of Arts/Science, Harvard University",True,1987-03-18
5036,Robert Jackson,0.7,Germany,Retail,4367,71,Berlin,Germany,Single,5,"Bachelor of Arts/Science, Harvard University",False,1954-03-26
5037,Sophia Smith,0.7,Germany,Healthcare,4367,33,Munich,Germany,Divorced,2,"Master of Business Administration, Cambridge University",True,1992-03-16
5038,Michael Jackson,0.7,France,Finance,4367,33,Marseille,France,Married,0,"Master of Business Administration, Yale University",False,1992-03-16
5039,Daniel Smith,0.7,France,Real Estate,4367,84,Lyon,France,Single,1,"PhD, Cambridge University",True,1941-03-29
5040,David Johnson,0.7,India,Technology,4367,33,Delhi,India,Single,4,"Master of Business Administration, MIT",False,1992-03-16
5041,Michael Harris,0.7,Brazil,Manufacturing,4367,52,Rio de Janeiro,Brazil,Married,4,"Master of Business Administration, Cambridge University",True,1973-03-21
5042,Sarah Jackson,0.7,China,Finance,4367,45,Beijing,China,Single,4,"Drop Out, Stanford University",False,1980-03-19
5043,Emily White,0.7,China,Real Estate,4367,55,Shenzhen,China,Married,0,"PhD, Yale University",True,1970-03-22
5044,Michael Thomas,0.7,Brazil,Healthcare,4367,51,Brasilia,Brazil,In Relationship,4,"Master of Business Administration, Oxford University",False,1974-03-21
5045,Sarah Jackson,0.7,India,Energy,4367,49,Mumbai,India,Divorced,4,"Master of Business Administration, Stanford University",False,1976-03-20
5046,Sarah Taylor,0.7,Brazil,Healthcare,4367,75,São Paulo,Brazil,Divorced,1,"PhD, Cambridge University",True,1950-03-27
5047,Emily Jackson,0.7,Germany,Energy,4367,32,Munich,Germany,Married,2,"Drop Out, Harvard University",True,1993-03-16
5048,Sophia Taylor,0.7,France,Technology,4367,85,Paris,France,Divorced,0,"Drop Out, Stanford University",False,1940-03-29
5049,Jane Martin,0.7,Germany,Energy,4367,81,Frankfurt,Germany,Married,0,"Master of Business Administration, Cambridge University",False,1944-03-28
5050,Sarah Brown,0.7,China,Manufacturing,4367,33,Shenzhen,China,Single,0,"PhD, Stanford University",False,1992-03-16
5051,Robert Johnson,0.7,United States,Technology,4367,75,"New York, NY",United States,Divorced,4,"Bachelor of Arts/Science, Oxford University",False,1950-03-27
5052,Sophia Harris,0.7,Brazil,Real Estate,4367,83,São Paulo,Brazil,Divorced,2,"Drop Out, Harvard University",True,1942-03-29
5053,Robert Harris,0.7,United States,Retail,4367,35,"New York, NY",United States,In Relationship,2,"Drop Out, Cambridge University",False,1990-03-17
5054,David Thomas,0.7,Brazil,Energy,4367,58,Rio de Janeiro,Brazil,Single,1,"Master of Business Administration, Cambridge University",True,1967-03-23
5055,Emily Harris,0.7,Brazil,Retail,4367,71,São Paulo,Brazil,Divorced,5,"PhD, Yale University",False,1954-03-26
5056,Sophia White,0.7,China,Retail,4367,64,Shenzhen,China,Divorced,4,"Drop Out, MIT",True,1961-03-24
5057,Olivia Taylor,0.7,India,Finance,4367,83,Mumbai,India,In Relationship,5,"Drop Out, MIT",True,1942-03-29
5058,Michael Brown,0.7,India,Technology,4367,86,Delhi,India,In Relationship,3,"PhD, MIT",True,1939-03-30
5059,Daniel Anderson,0.7,Brazil,Manufacturing,4367,35,Brasilia,Brazil,Single,0,"Bachelor of Arts/Science, Stanford University",True,1990-03-17
5060,Emily Taylor,0.7,Brazil,Real Estate,4367,33,São Paulo,Brazil,In Relationship,2,"Drop Out, Harvard University",True,1992-03-16
5061,Michael Harris,0.7,China,Finance,4367,39,Shenzhen,China,Married,2,"Bachelor of Arts/Science, Cambridge University",True,1986-03-18
5062,Sarah Smith,0.7,Germany,Finance,4367,67,Berlin,Germany,Single,1,"Bachelor of Arts/Science, MIT",False,1958-03-25
5063,Olivia Johnson,0.7,Germany,Finance,4367,39,Frankfurt,Germany,In Relationship,3,"Drop Out, Stanford University",False,1986-03-18
5064,John Jackson,0.7,Germany,Manufacturing,4367,76,Frankfurt,Germany,Divorced,3,"Master of Business Administration, Stanford University",False,1949-03-27
5065,Daniel Brown,0.7,China,Real Estate,4367,57,Beijing,China,Single,3,"Master of Business Administration, Cambridge University",True,1968-03-22
5066,Olivia Taylor,0.7,France,Technology,4367,68,Marseille,France,Married,2,"PhD, MIT",True,1957-03-25
5067,Daniel Thomas,0.7,Germany,Finance,4367,43,Berlin,Germany,Single,5,"Bachelor of Arts/Science, MIT",False,1982-03-19
5068,Daniel Brown,0.7,Germany,Energy,4367,54,Munich,Germany,Single,2,"Drop Out, Harvard University",True,1971-03-22
5069,Emily Martin,0.7,France,Real Estate,4367,58,Lyon,France,Married,2,"PhD, Harvard University",False,1967-03-23
5070,Jane Jackson,0.7,France,Finance,4367,57,Paris,France,Married,3,"Master of Business Administration, Oxford University",True,1968-03-22
5071,Daniel Martin,0.7,Germany,Manufacturing,4367,83,Frankfurt,Germany,Single,3,"PhD, Cambridge University",True,1942-03-29
5072,Emily Harris,0.7,China,Finance,4367,60,Shanghai,China,In Relationship,1,"Master of Business Administration, Yale University",True,1965-03-23
5073,Sophia Brown,0.7,France,Manufacturing,4367,75,Marseille,France,Married,4,"Drop Out, Oxford University",False,1950-03-27
5074,Robert Martin,0.7,China,Healthcare,4367,89,Shenzhen,China,Single,5,"Drop Out, Cambridge University",True,1936-03-30
5075,Sophia Brown,0.7,United States,Healthcare,4367,42,"Los Angeles, CA",United States,Divorced,2,"PhD, Harvard University",True,1983-03-19
5076,John Thomas,0.7,United States,Real Estate,4367,60,"Chicago, IL",United States,Divorced,3,"Drop Out, Yale University",False,1965-03-23
5077,Robert Harris,0.7,India,Healthcare,4367,78,Bangalore,India,Divorced,1,"PhD, Stanford University",True,1947-03-28
5078,David White,0.7,United States,Energy,4367,56,"Chicago, IL",United States,Married,3,"Bachelor of Arts/Science, Harvard University",False,1969-03-22
5079,David Jackson,0.7,Germany,Finance,4367,81,Frankfurt,Germany,Single,1,"Master of Business Administration, Harvard University",True,1944-03-28
5080,Sophia Jackson,0.7,China,Technology,4367,48,Shanghai,China,Single,3,"Drop Out, MIT",False,1977-03-20
5081,David Harris,0.7,Brazil,Technology,4367,81,Rio de Janeiro,Brazil,Single,0,"Drop Out, Oxford University",True,1944-03-28
5082,Jane Martin,0.7,Germany,Manufacturing,4367,55,Berlin,Germany,In Relationship,2,"PhD, MIT",True,1970-03-22
5083,Robert Harris,0.7,France,Finance,4367,46,Paris,France,Single,4,"Bachelor of Arts/Science, Harvard University",True,1979-03-20
5084,Robert Anderson,0.7,Germany,Manufacturing,4367,64,Munich,Germany,Single,0,"Drop Out, Oxford University",True,1961-03-24
5085,Robert Martin,0.7,India,Energy,4367,41,Bangalore,India,Single,3,"Bachelor of Arts/Science, Harvard University",True,1984-03-18
5086,Olivia Taylor,0.7,Germany,Manufacturing,4367,76,Munich,Germany,Single,4,"Bachelor of Arts/Science, MIT",False,1949-03-27
5087,Emily Harris,0.7,India,Technology,4367,53,Bangalore,India,In Relationship,4,"Drop Out, Oxford University",False,1972-03-21
5088,Olivia Thomas,0.7,China,Energy,4367,84,Shenzhen,China,Divorced,1,"Drop Out, Harvard University",True,1941-03-29
5089,David Harris,0.7,France,Finance,4367,67,Paris,France,Single,0,"Bachelor of Arts/Science, Yale University",False,1958-03-25
5090,John Taylor,0.7,India,Manufacturing,4367,61,Bangalore,India,Single,3,"PhD, Harvard University",False,1964-03-23
5091,Emily Anderson,0.7,United States,Retail,4367,84,"Chicago, IL",United States,Divorced,0,"Bachelor of Arts/Science, Yale University",False,1941-03-29
5092,Daniel Jackson,0.7,France,Real Estate,4367,73,Paris,France,Divorced,2,"Drop Out, MIT",False,1952-03-26
5093,Olivia Martin,0.7,Germany,Retail,4367,82,Frankfurt,Germany,Single,4,"Master of Business Administration, Oxford University",True,1943-03-29
5094,Robert Anderson,0.7,France,Energy,4367,33,Paris,France,Married,5,"Bachelor of Arts/Science, Harvard University",True,1992-03-16
5095,Daniel Brown,0.7,India,Manufacturing,4367,59,Mumbai,India,Single,0,"Bachelor of Arts/Science, Stanford University",False,1966-03-23
5096,Michael Taylor,0.7,France,Healthcare,4367,77,Marseille,France,Divorced,5,"PhD, Cambridge University",False,1948-03-27
5097,Sarah White,0.7,China,Technology,4367,60,Shanghai,China,Married,4,"PhD, Harvard University",False,1965-03-23
5098,John White,0.7,India,Manufacturing,4367,30,Mumbai,India,Single,2,"Drop Out, MIT",True,1995-03-16
5099,Emily Taylor,0.7,United States,Retail,4367,32,"Los Angeles, CA",United States,In Relationship,1,"Bachelor of Arts/Science, Oxford University",False,1993-03-16
5100,Jane Jackson,0.7,Brazil,Real Estate,4367,60,Rio de Janeiro,Brazil,In Relationship,1,"PhD, Yale University",False,1965-03-23
5101,Sarah Harris,0.7,India,Healthcare,4367,47,Delhi,India,In Relationship,1,"Bachelor of Arts/Science, Harvard University",True,1978-03-20
5102,David Johnson,0.7,Brazil,Technology,4367,78,Brasilia,Brazil,Divorced,3,"Bachelor of Arts/Science, Stanford University",True,1947-03-28
5103,Sophia Johnson,0.7,France,Healthcare,4367,90,Paris,France,Married,3,"Bachelor of Arts/Science, Oxford University",True,1935-03-31
5104,Robert Martin,0.7,Brazil,Energy,4367,59,São Paulo,Brazil,Divorced,3,"PhD, Cambridge University",True,1966-03-23
5105,Robert Harris,0.7,United States,Energy,4367,27,"Los Angeles, CA",United States,In Relationship,4,"Master of Business Administration, Stanford University",True,1998-03-15
5106,Daniel Jackson,0.7,Germany,Healthcare,4367,70,Berlin,Germany,Divorced,1,"PhD, Oxford University",False,1955-03-26
5107,Michael Martin,0.7,China,Finance,4367,62,Shenzhen,China,Single,0,"Drop Out, MIT",False,1963-03-24
5108,Jane Thomas,0.7,France,Energy,4367,35,Lyon,France,Married,1,"Master of Business Administration, Harvard University",True,1990-03-17
5109,Sarah Johnson,0.7,Brazil,Energy,4367,70,Rio de Janeiro,Brazil,In Relationship,2,"Drop Out, Yale University",False,1955-03-26
5110,Robert White,0.7,Germany,Healthcare,4367,31,Munich,Germany,Married,5,"Master of Business Administration, Cambridge University",True,1994-03-16
5111,John Johnson,0.7,India,Real Estate,4367,40,Mumbai,India,Divorced,3,"PhD, MIT",False,1985-03-18
5112,David Brown,0.7,Brazil,Real Estate,4367,50,Rio de Janeiro,Brazil,Single,2,"Bachelor of Arts/Science, Cambridge University",False,1975-03-21
5113,Michael Brown,0.7,Germany,Energy,4367,31,Frankfurt,Germany,Married,4,"PhD, MIT",False,1994-03-16
5114,Olivia Thomas,0.7,Germany,Retail,4367,80,Munich,Germany,In Relationship,0,"Master of Business Administration, Yale University",True,1945-03-28
5115,Daniel Harris,0.7,India,Finance,4367,48,Delhi,India,Single,0,"Master of Business Administration, MIT",False,1977-03-20
5116,Olivia Thomas,0.7,United States,Manufacturing,4367,53,"New York, NY",United States,Single,4,"Drop Out, Yale University",True,1972-03-21
5117,Sophia Martin,0.7,United States,Energy,4367,55,"Los Angeles, CA",United States,Married,5,"Master of Business Administration, Cambridge University",False,1970-03-22
5118,Olivia White,0.7,India,Energy,4367,63,Delhi,India,Single,0,"Drop Out, MIT",False,1962-03-24
5119,Sophia Taylor,0.7,China,Real Estate,4367,79,Beijing,China,Married,0,"Bachelor of Arts/Science, Cambridge University",True,1946-03-28
5120,Sarah Taylor,0.7,France,Retail,4367,71,Lyon,France,Single,5,"PhD, Stanford University",False,1954-03-26
5121,David White,0.7,France,Manufacturing,4367,40,Paris,France,Married,0,"Bachelor of Arts/Science, MIT",False,1985-03-18
5122,Daniel Martin,0.7,Brazil,Technology,4367,27,São Paulo,Brazil,Married,0,"Bachelor of Arts/Science, Harvard University",False,1998-03-15
5123,Jane Thomas,0.7,United States,Real Estate,4367,67,"Los Angeles, CA",United States,Married,1,"Drop Out, Yale University",True,1958-03-25
5124,John Harris,0.7,India,Healthcare,4367,43,Mumbai,India,Married,3,"PhD, MIT",True,1982-03-19
5125,David Thomas,0.7,China,Energy,4367,81,Shenzhen,China,Divorced,4,"Master of Business Administration, Yale University",False,1944-03-28
5126,John Smith,0.7,Germany,Manufacturing,4367,83,Frankfurt,Germany,In Relationship,3,"PhD, MIT",True,1942-03-29
5127,Sophia Harris,0.7,Brazil,Real Estate,4367,69,São Paulo,Brazil,Single,5,"Drop Out, Stanford University",True,1956-03-25
5128,Sarah Taylor,0.7,France,Healthcare,4367,26,Lyon,France,Single,0,"Drop Out, Cambridge University",False,1999-03-15
5129,Sarah Thomas,0.7,Germany,Real Estate,4367,27,Frankfurt,Germany,Single,3,"Master of Business Administration, Stanford University",True,1998-03-15
5130,Michael Anderson,0.7,United States,Finance,4367,45,"New York, NY",United States,Married,3,"Drop Out, Harvard University",False,1980-03-19
5131,Jane Thomas,0.7,India,Manufacturing,4367,89,Mumbai,India,Single,3,"Drop Out, Stanford University",False,1936-03-30
5132,Michael Taylor,0.7,France,Energy,4367,48,Marseille,France,In Relationship,2,"Drop Out, MIT",True,1977-03-20
5133,Daniel Martin,0.7,United States,Energy,4367,35,"Chicago, IL",United States,Single,4,"Master of Business Administration, Yale University",True,1990-03-17
5134,David Martin,0.7,China,Healthcare,4367,53,Shenzhen,China,Married,4,"Bachelor of Arts/Science, Oxford University",True,1972-03-21
5135,David Thomas,0.7,China,Technology,4367,46,Beijing,China,Single,4,"Bachelor of Arts/Science, Harvard University",False,1979-03-20
5136,Sarah Johnson,0.7,United States,Healthcare,4367,46,"Los Angeles, CA",United States,Divorced,0,"PhD, Harvard University",True,1979-03-20
5137,Daniel Anderson,0.7,United States,Real Estate,4367,76,"Chicago, IL",United States,Single,1,"Drop Out, MIT",False,1949-03-27
5138,Emily Jackson,0.7,United States,Technology,4367,60,"Los Angeles, CA",United States,Married,1,"Master of Business Administration, Yale University",True,1965-03-23
5139,David Brown,0.7,India,Healthcare,4367,75,Mumbai,India,Single,2,"Bachelor of Arts/Science, MIT",False,1950-03-27
5140,Daniel Harris,0.7,United States,Energy,4367,34,"New York, NY",United States,In Relationship,4,"Master of Business Administration, Yale University",False,1991-03-17
5141,Emily Brown,0.7,France,Manufacturing,4367,46,Paris,France,Single,1,"Bachelor of Arts/Science, Yale University",False,1979-03-20
5142,Olivia Brown,0.7,China,Finance,4367,51,Beijing,China,Divorced,0,"Bachelor of Arts/Science, Oxford University",True,1974-03-21
5143,John Thomas,0.7,United States,Healthcare,4367,49,"Chicago, IL",United States,In Relationship,0,"PhD, Oxford University",False,1976-03-20
5144,Robert Jackson,0.7,Brazil,Retail,4367,60,Brasilia,Brazil,Married,1,"Drop Out, MIT",False,1965-03-23
5145,Sarah Martin,0.7,United States,Retail,4367,39,"New York, NY",United States,Married,4,"PhD, Cambridge University",True,1986-03-18
5146,Olivia Smith,0.7,France,Energy,4367,31,Paris,France,Divorced,4,"Bachelor of Arts/Science, Harvard University",False,1994-03-16
5147,Michael Brown,0.7,France,Technology,4367,50,Lyon,France,Divorced,4,"PhD, Cambridge University",True,1975-03-21
5148,John Johnson,0.7,Brazil,Finance,4367,55,Rio de Janeiro,Brazil,In Relationship,4,"Drop Out, Oxford University",True,1970-03-22
5149,David Thomas,0.7,India,Technology,4367,87,Mumbai,India,In Relationship,5,"Bachelor of Arts/Science, Yale University",False,1938-03-30
5150,Michael Brown,0.7,Germany,Manufacturing,4367,34,Berlin,Germany,Divorced,0,"Drop Out, Stanford University",True,1991-03-17
5151,Daniel Jackson,0.7,China,Technology,4367,51,Beijing,China,In Relationship,5,"Drop Out, Cambridge University",True,1974-03-21
5152,David Jackson,0.7,Germany,Real Estate,4367,82,Berlin,Germany,Divorced,1,"Master of Business Administration, Cambridge University",False,1943-03-29
5153,Olivia Taylor,0.7,Germany,Technology,4367,45,Frankfurt,Germany,Divorced,0,"Drop Out, MIT",False,1980-03-19
5154,David White,0.7,India,Manufacturing,4367,66,Delhi,India,Single,2,"PhD, Harvard University",True,1959-03-25
5155,Daniel Smith,0.7,United States,Manufacturing,4367,25,"New York, NY",United States,Divorced,3,"Bachelor of Arts/Science, Oxford University",False,2000-03-14
5156,Sophia Harris,0.7,France,Energy,4367,85,Marseille,France,In Relationship,4,"Drop Out, MIT",True,1940-03-29
5157,Robert Smith,0.7,Brazil,Manufacturing,4367,27,São Paulo,Brazil,In Relationship,4,"Bachelor of Arts/Science, Stanford University",False,1998-03-15
5158,Olivia Anderson,0.7,Brazil,Manufacturing,4367,33,São Paulo,Brazil,Single,4,"Master of Business Administration, Yale University",True,1992-03-16
5159,Emily Taylor,0.7,France,Finance,4367,30,Paris,France,Married,2,"Master of Business Administration, Stanford University",False,1995-03-16
5160,John Johnson,0.7,Germany,Retail,4367,35,Frankfurt,Germany,Married,4,"Drop Out, Stanford University",False,1990-03-17
5161,Sarah Harris,0.7,France,Finance,4367,68,Paris,France,Divorced,3,"Bachelor of Arts/Science, MIT",False,1957-03-25
5162,Sarah White,0.7,Germany,Finance,4367,85,Berlin,Germany,Married,0,"Master of Business Administration, Oxford University",True,1940-03-29
5163,Olivia Anderson,0.7,Brazil,Technology,4367,86,Brasilia,Brazil,Divorced,0,"PhD, MIT",True,1939-03-30
5164,Daniel Jackson,0.7,Brazil,Retail,4367,78,Rio de Janeiro,Brazil,Single,1,"Drop Out, Cambridge University",False,1947-03-28
5165,Sophia Thomas,0.7,France,Technology,4367,47,Lyon,France,Single,4,"PhD, Cambridge University",True,1978-03-20
5166,Sarah Taylor,0.7,Germany,Energy,4367,57,Frankfurt,Germany,Divorced,3,"PhD, Oxford University",False,1968-03-22
5167,Daniel Smith,0.7,United States,Manufacturing,4367,88,"New York, NY",United States,Married,0,"PhD, Oxford University",False,1937-03-30
5168,Olivia Johnson,0.7,France,Retail,4367,37,Paris,France,Single,1,"Master of Business Administration, Oxford University",True,1988-03-17
5169,Sarah White,0.7,United States,Manufacturing,4367,72,"Chicago, IL",United States,Married,2,"Bachelor of Arts/Science, Stanford University",True,1953-03-26
5170,Emily Thomas,0.7,Germany,Finance,4367,75,Berlin,Germany,Single,3,"PhD, Cambridge University",False,1950-03-27
5171,Daniel Harris,0.7,France,Finance,4367,59,Marseille,France,Divorced,0,"PhD, Cambridge University",True,1966-03-23
5172,Emily Smith,0.7,United States,Retail,4367,80,"Chicago, IL",United States,In Relationship,2,"Master of Business Administration, Harvard University",False,1945-03-28
5173,Olivia Thomas,0.6,Germany,Manufacturing,5172,53,Frankfurt,Germany,Married,4,"PhD, Cambridge University",True,1972-03-21
5174,Sarah Thomas,0.6,Brazil,Retail,5172,84,Brasilia,Brazil,Divorced,0,"Bachelor of Arts/Science, Harvard University",True,1941-03-29
5175,Michael Martin,0.6,India,Healthcare,5172,29,Mumbai,India,Single,1,"Bachelor of Arts/Science, Stanford University",True,1996-03-15
5176,John White,0.6,China,Finance,5172,90,Beijing,China,In Relationship,1,"PhD, Stanford University",True,1935-03-31
5177,Jane Martin,0.6,Germany,Manufacturing,5172,76,Berlin,Germany,Married,5,"Master of Business Administration, MIT",True,1949-03-27
5178,Michael Brown,0.6,China,Finance,5172,53,Shenzhen,China,Divorced,3,"Drop Out, Stanford University",False,1972-03-21
5179,David Taylor,0.6,France,Healthcare,5172,45,Lyon,France,In Relationship,4,"Drop Out, Oxford University",False,1980-03-19
5180,Robert Thomas,0.6,Germany,Retail,5172,89,Frankfurt,Germany,Married,4,"Bachelor of Arts/Science, MIT",True,1936-03-30
5181,David Johnson,0.6,United States,Healthcare,5172,72,"New York, NY",United States,In Relationship,4,"Bachelor of Arts/Science, Oxford University",False,1953-03-26
5182,Olivia Jackson,0.6,Brazil,Healthcare,5172,47,São Paulo,Brazil,In Relationship,3,"Bachelor of Arts/Science, MIT",True,1978-03-20
5183,Sophia Johnson,0.6,United States,Retail,5172,35,"New York, NY",United States,Married,1,"Drop Out, MIT",False,1990-03-17
5184,Daniel Johnson,0.6,France,Finance,5172,43,Marseille,France,In Relationship,3,"Master of Business Administration, Yale University",False,1982-03-19
5185,Robert Jackson,0.6,Brazil,Retail,5172,65,São Paulo,Brazil,Divorced,0,"Master of Business Administration, Harvard University",True,1960-03-24
5186,Sophia Smith,0.6,China,Manufacturing,5172,75,Shenzhen,China,Single,4,"PhD, Harvard University",True,1950-03-27
5187,Sarah Brown,0.6,Brazil,Energy,5172,50,Brasilia,Brazil,Divorced,0,"Master of Business Administration, Yale University",True,1975-03-21
5188,Olivia Smith,0.6,Brazil,Energy,5172,87,São Paulo,Brazil,In Relationship,4,"PhD, Oxford University",True,1938-03-30
5189,Sophia Smith,0.6,United States,Retail,5172,73,"New York, NY",United States,Divorced,0,"Bachelor of Arts/Science, MIT",False,1952-03-26
5190,Sophia Thomas,0.6,Brazil,Technology,5172,69,São Paulo,Brazil,Divorced,4,"PhD, Harvard University",False,1956-03-25
5191,David White,0.6,United States,Technology,5172,25,"Los Angeles, CA",United States,Divorced,3,"PhD, Oxford University",False,2000-03-14
5192,David Thomas,0.6,India,Manufacturing,5172,86,Delhi,India,Single,3,"Bachelor of Arts/Science, Cambridge University",False,1939-03-30
5193,Emily Johnson,0.6,Brazil,Real Estate,5172,72,Brasilia,Brazil,Married,4,"Drop Out, Yale University",True,1953-03-26
5194,Daniel Taylor,0.6,India,Retail,5172,47,Mumbai,India,Divorced,1,"Drop Out, Harvard University",False,1978-03-20
5195,Robert Smith,0.6,India,Healthcare,5172,61,Mumbai,India,Single,3,"PhD, MIT",True,1964-03-23
5196,Robert Thomas,0.6,Germany,Healthcare,5172,57,Munich,Germany,Divorced,1,"PhD, Harvard University",True,1968-03-22
5197,Robert Brown,0.6,Germany,Manufacturing,5172,65,Frankfurt,Germany,Married,0,"Master of Business Administration, MIT",False,1960-03-24
5198,David Harris,0.6,India,Manufacturing,5172,59,Bangalore,India,In Relationship,2,"Bachelor of Arts/Science, Oxford University",False,1966-03-23
5199,Daniel Anderson,0.6,China,Finance,5172,29,Shenzhen,China,Single,1,"Drop Out, Oxford University",False,1996-03-15
5200,Michael Johnson,0.6,Germany,Technology,5172,51,Frankfurt,Germany,Single,5,"Bachelor of Arts/Science, Yale University",False,1974-03-21
5201,Daniel Taylor,0.6,United States,Finance,5172,90,"Los Angeles, CA",United States,In Relationship,2,"Master of Business Administration, Harvard University",True,1935-03-31
5202,John Anderson,0.6,Brazil,Healthcare,5172,31,São Paulo,Brazil,Married,0,"Drop Out, Stanford University",True,1994-03-16
5203,Robert Smith,0.6,Germany,Retail,5172,58,Frankfurt,Germany,Married,0,"PhD, Stanford University",False,1967-03-23
5204,David Harris,0.6,India,Manufacturing,5172,54,Bangalore,India,Single,1,"Drop Out, Cambridge University",True,1971-03-22
5205,Daniel Johnson,0.6,France,Retail,5172,38,Marseille,France,In Relationship,1,"PhD, Oxford University",True,1987-03-18
5206,Daniel Thomas,0.6,United States,Technology,5172,82,"New York, NY",United States,Married,4,"Bachelor of Arts/Science, Yale University",True,1943-03-29
5207,Robert Harris,0.6,India,Manufacturing,5172,80,Bangalore,India,In Relationship,4,"PhD, MIT",True,1945-03-28
5208,Olivia Jackson,0.6,India,Manufacturing,5172,71,Delhi,India,Single,0,"Drop Out, Harvard University",False,1954-03-26
5209,Michael White,0.6,France,Manufacturing,5172,75,Lyon,France,In Relationship,4,"Bachelor of Arts/Science, Stanford University",True,1950-03-27
5210,Sarah Martin,0.6,Brazil,Finance,5172,35,Rio de Janeiro,Brazil,Divorced,4,"Master of Business Administration, Stanford University",True,1990-03-17
5211,Sarah Jackson,0.6,China,Retail,5172,70,Beijing,China,Divorced,3,"Drop Out, Oxford University",False,1955-03-26
5212,Olivia Brown,0.6,China,Technology,5172,86,Beijing,China,In Relationship,5,"Drop Out, Cambridge University",True,1939-03-30
5213,Sarah Martin,0.6,China,Technology,5172,70,Beijing,China,Single,0,"Master of Business Administration, Cambridge University",False,1955-03-26
5214,David Thomas,0.6,France,Manufacturing,5172,49,Paris,France,Single,1,"Bachelor of Arts/Science, MIT",False,1976-03-20
5215,Emily Thomas,0.6,France,Healthcare,5172,80,Lyon,France,Married,3,"Drop Out, Oxford University",True,1945-03-28
5216,Jane White,0.6,United States,Healthcare,5172,49,"Chicago, IL",United States,Single,0,"Drop Out, Harvard University",False,1976-03-20
5217,Jane Harris,0.6,United States,Finance,5172,68,"New York, NY",United States,Married,1,"Drop Out, Yale University",False,1957-03-25
5218,Olivia White,0.6,France,Manufacturing,5172,27,Marseille,France,Single,2,"Bachelor of Arts/Science, Oxford University",True,1998-03-15
5219,Daniel Harris,0.6,India,Manufacturing,5172,72,Mumbai,India,Divorced,3,"Bachelor of Arts/Science, Stanford University",True,1953-03-26
5220,David Brown,0.6,China,Finance,5172,39,Shenzhen,China,Married,2,"Bachelor of Arts/Science, Yale University",False,1986-03-18
5221,Daniel Jackson,0.6,United States,Energy,5172,53,"Chicago, IL",United States,Married,0,"PhD, Yale University",True,1972-03-21
5222,Emily Taylor,0.6,China,Finance,5172,38,Shenzhen,China,Married,2,"Drop Out, Harvard University",True,1987-03-18
5223,Sophia Anderson,0.6,India,Healthcare,5172,39,Delhi,India,Married,3,"Bachelor of Arts/Science, Oxford University",False,1986-03-18
5224,Michael Harris,0.6,France,Technology,5172,65,Paris,France,In Relationship,5,"Bachelor of Arts/Science, Stanford University",False,1960-03-24
5225,Emily Jackson,0.6,Brazil,Energy,5172,81,São Paulo,Brazil,Divorced,0,"Drop Out, MIT",True,1944-03-28
5226,John Thomas,0.6,United States,Manufacturing,5172,56,"New York, NY",United States,In Relationship,4,"Drop Out, Cambridge University",False,1969-03-22
5227,Robert Brown,0.6,France,Energy,5172,82,Lyon,France,Divorced,5,"Drop Out, MIT",True,1943-03-29
5228,Emily Harris,0.6,Brazil,Energy,5172,79,Brasilia,Brazil,Divorced,5,"Bachelor of Arts/Science, Stanford University",True,1946-03-28
5229,David Martin,0.6,France,Energy,5172,57,Lyon,France,Single,0,"PhD, Harvard University",True,1968-03-22
5230,Sarah White,0.6,Brazil,Retail,5172,71,Brasilia,Brazil,Married,1,"Master of Business Administration, Yale University",False,1954-03-26
5231,Emily Jackson,0.6,India,Technology,5172,90,Mumbai,India,Divorced,1,"Drop Out, MIT",False,1935-03-31
5232,Emily Jackson,0.6,Brazil,Healthcare,5172,45,São Paulo,Brazil,Married,2,"Master of Business Administration, Stanford University",True,1980-03-19
5233,Olivia Thomas,0.6,Germany,Healthcare,5172,75,Munich,Germany,In Relationship,2,"PhD, Oxford University",True,1950-03-27
5234,Sophia Martin,0.6,United States,Real Estate,5172,39,"New York, NY",United States,Single,3,"Drop Out, Harvard University",False,1986-03-18
5235,David Smith,0.6,United States,Real Estate,5172,29,"Los Angeles, CA",United States,Married,4,"Master of Business Administration, Oxford University",True,1996-03-15
5236,Sophia Martin,0.6,China,Retail,5172,79,Shenzhen,China,In Relationship,3,"Master of Business Administration, Yale University",False,1946-03-28
5237,Emily Taylor,0.6,Brazil,Retail,5172,77,Rio de Janeiro,Brazil,Divorced,2,"Drop Out, Stanford University",False,1948-03-27
5238,Daniel White,0.6,France,Real Estate,5172,27,Lyon,France,In Relationship,5,"PhD, Harvard University",False,1998-03-15
5239,Sarah Smith,0.6,China,Finance,5172,73,Shenzhen,China,In Relationship,1,"Master of Business Administration, Oxford University",True,1952-03-26
5240,Jane Thomas,0.6,Germany,Finance,5172,82,Munich,Germany,Married,1,"PhD, Yale University",True,1943-03-29
5241,Jane Anderson,0.6,France,Healthcare,5172,50,Paris,France,Single,0,"Drop Out, Cambridge University",True,1975-03-21
